Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
1,0,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,185.179276,17.792868,93.37,1.92,-1.92,93.37,1.92,-1.92,4.74,4.372,4742,100,-100,2.7,0.3,-0.3,19,2,-2,-1.6,302.8,2.6,-2.6,19.4,1.5,-1.5,,,,6165.6,476.7,-476.7,6165.6,476.7,-476.7,,,,,,,,,,,0,27,19,12.34528503,264.140892,78.280522,177.422388,18.333765,10.71,0.22,-0.22,10.71,0.22,-0.22,-109.2,0.3,88.2,0.3,140.4,0.3,-109.2,0.3,88.2,0.3,140.4,0.3,43.37,0.21,-0.21,5,2.31,0.1,-0.1,2.243,0.071,-0.085,-0.35,0.09,-0.09,,,,1.2,1,-1,4.74,,5.75,,,2.943,0.334,2.484,0.268,2.282,0.346,0.639,,0.732,,2.358,0.01,2.27,0.018,1,20,0.79,,1.01,,0.459,0.428,0.202,0.438,0.661,0.481,,,,,,,7
2,0,1,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,229.274536,71.823898,125.72,1.97,-1.97,125.72,1.97,-1.97,5.016,4.5,4213,46,-46,2.78,0.69,-0.69,29.79,2.84,-2.84,,189.7,7.2,-7.2,14.74,2.5,-2.5,,,,4684.8142,794.575,-794.575,4684.8142,794.575,-794.575,,,,,,,,,,,0,35,18,15.28496908,108.718982,41.044516,141.647144,74.958184,7.95,0.12,-0.12,7.95,0.12,-0.12,3.4,0.2,10.1,0.2,10.7,0.2,3.4,0.2,10.1,0.2,10.7,0.2,-17.52,0.15,-0.15,5.4,1.93,0.07,-0.07,,,,-0.02,,,,,,1.5,,,5.016,0.009,6.385,0.015,,2.876,0.23,2.091,0.194,1.939,0.27,-0.29,,0.143,,1.894,0.012,1.787,0.013,1,17,,,1.369,0.017,0.785,0.301,0.152,0.332,0.937,0.355,,,,,,,5
3,0,1,185.84,0.23,-0.23,0,0.83,,,352.822571,39.236198,75.59,0.71,-0.71,75.59,0.71,-0.71,5.227,4.872,4813,20,-20,2.2,0.1,-0.2,11,1,-1,-1.5,100,1.3,-1.3,4.8,,,,,,1525.5,,,1525.5,,,,,,,,,,,,,0,30,22,23.52150472,106.411558,-21.05061,11.962116,38.229937,13.23,0.12,-0.12,13.23,0.12,-0.12,287.3,0.2,-83.8,0.1,299.3,0.2,287.3,0.2,-83.8,0.1,299.3,0.2,-59.73,0.31,-0.31,4.8,2.63,0.07,-0.07,1.763,,,-0.24,0.03,-0.03,,,,2.6,,,5.227,0.009,6.24,,,3.019,0.18,2.608,0.184,2.331,0.24,1.592,,2.545,0.524,2.719,0.016,2.719,0.023,1,21,0.86,,1.02,,0.411,0.257,0.277,0.302,0.688,0.3,,,,,,,7
4,0,1,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,242.601303,43.817646,17.94,0.01,-0.01,17.94,0.01,-0.01,6.61,6.379,5338,25,-25,0.9,0.04,-0.04,0.93,0.01,-0.01,,90,0.5,-0.5,4.66,0.15,-0.15,,,,1481.0878,47.6745,-47.6745,1481.0878,47.6745,-47.6745,,,,,,,,,,,0,79,37,16.17342021,69.170376,46.944999,223.248728,62.879798,55.74,0.02,-0.02,55.74,0.02,-0.02,132,0,-296.5,0,324.5,0,132,0,-296.5,0,324.5,0,,,,5,4.45,0.02,-0.02,,,,0.41,,,,,,1.6,0.5,-0.5,6.61,0.02,7.49,0.02,,5.158,0.029,4.803,0.016,4.714,0.016,4.676,0.173,4.543,0.086,4.721,0.014,4.674,0.025,1,25,,,0.88,0.01,0.355,0.033,0.089,0.023,0.444,0.033,0.537,0.001,0.366,0.002,0.438,0.006,9
5,0,1,798.5,1,-1,0,1.66,0.03,-0.03,295.466553,50.517525,21.15,0.01,-0.01,21.15,0.01,-0.01,6.25,6.057,5750,8,-8,1.08,0.04,-0.04,1.13,0.01,-0.01,,50.5,1.6,-1.6,1.78,0.08,-0.08,,,,565.7374,25.4264,-25.4264,565.7374,25.4264,-25.4264,,,,,,,,,,,0,77,40,19.69777018,83.33646,13.204352,321.21805,69.468372,47.28,0.02,-0.02,47.28,0.02,-0.02,-134.8,0,-162.5,0,211.1,0,-134.8,0,-162.5,0,211.1,0,-28.1,0.1,-0.1,4.25,4.36,0.01,-0.01,,,,0.06,,,,,,2.18,,,6.25,,6.91,,,4.993,0.037,4.695,0.036,4.651,0.016,4.773,0.236,4.568,0.106,4.926,0.033,4.713,0.028,,28,0.21,,0.66,,0.298,0.052,0.044,0.039,0.342,0.04,0.418,0.003,0.222,0.003,0.351,0.003,17
6,0,1,993.3,3.2,-3.2,0,2.6,,,314.608063,10.839286,76.38,0.62,-0.62,76.38,0.62,-0.62,5.506,5.244,4979,18,-18,2.3,,,8.5,,,-18,119.4,1.3,-1.3,10.3,,,,,,3273.5,,,3273.5,,,,,,,,,,,,,0,28,20,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.09,0.11,-0.11,13.09,0.11,-0.11,-50,0.1,-34.2,0.2,60.6,0.2,-50,0.1,-34.2,0.2,60.6,0.2,4.35,0.15,-0.15,4.6,2.82,0.06,-0.06,1.602,,,-0.052,0.023,-0.023,,,,,,,5.506,0.009,6.43,0.014,,4.032,0.236,3.44,0.186,3.366,0.204,3.37,0.373,2.931,0.416,3.355,0.013,3.308,0.025,1,18,,,0.924,0.017,0.592,0.3,0.074,0.276,0.666,0.312,,,,,,,5
7,0,1,,,,,330,,,242.376268,-21.083036,145,14,-14,139.67,1.32,-1.32,,12.057,4060,300,-200,0.85,0.2,-0.1,,,,,,,,,,,3000,300,-300,,,,3000,300,-300,,,,,,,,,,,0,28,8,16.15841787,352.89056,22.030427,244.365684,-0.06841,,,,7.16,0.07,-0.07,-10.3,0.1,-23.2,0.1,25.4,0.1,-10.3,0.1,-23.2,0.1,25.4,0.1,,,,5.7,,,,-0.37,0.15,-0.15,,,,0.005,,,,,,,,,,,9.82,0.027,9.121,0.023,8.916,0.021,8.794,0.022,8.79,0.02,8.684,0.028,8.531,0.37,,8,,,,,0.699,0.035,0.205,0.031,0.904,0.034,,,,,,,3
8,0,1,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,217.157547,49.844852,96.25,0.64,-0.64,96.25,0.64,-0.64,5.58,5.305,4893,15,-15,0.99,0.19,-0.13,10.64,0.84,-0.59,-7.9,59.9,3.3,-3.2,0.91,0.13,-0.1,,,,289.2253,41.3179,-31.783,289.2253,41.3179,-31.783,,,,,,,,,,,0,17,14,14.4771698,90.162223,60.643666,185.925162,58.888907,10.39,0.07,-0.07,10.39,0.07,-0.07,-304.1,0.1,-46.8,0.1,307.6,0.1,-304.1,0.1,-46.8,0.1,307.6,0.1,-7.77,0.15,-0.15,4.3,2.42,0.1,-0.1,1.774,0.047,-0.053,-0.77,0.03,-0.03,6.92,4.83,-2.75,3.36,,,5.58,,6.442,0.014,,3.845,0.24,3.34,0.19,3.159,0.28,,,,,,,,,1,14,,,0.864,0.004,0.505,0.306,0.181,0.338,0.686,0.369,,,,,,,6
9,0,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,155.86821,-0.902244,72.21,0.68,-0.68,72.21,0.68,-0.68,6.441,6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,-172.3,40,4.9,-7.8,1.99,0.26,-0.38,,,,632.46,82.63,-120.77,632.46,82.63,-120.77,,,,,,,,,,,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,0.13,-0.13,13.85,0.13,-0.13,65.2,0.2,-36.3,0.2,74.6,0.2,65.2,0.2,-36.3,0.2,74.6,0.2,7.29,0.18,-0.18,5,3.5,0.1,-0.1,1.164,0.003,-0.003,-0.03,0.04,-0.04,2.7,0.4,-0.4,2.77,0.5,-0.5,6.441,0.01,7.399,0.015,,5.292,0.338,4.486,0.076,4.285,0.016,4.094,0.327,3.598,0.156,4.254,0.015,4.201,0.024,1,17,,,0.958,0.018,0.806,0.346,0.201,0.078,1.007,0.338,0.572,0.003,0.342,0.004,0.427,0.004,8
10,0,2,883,32.4,-13.8,0,2.08,0.05,-0.02,155.86821,-0.902244,72.21,0.68,-0.68,72.21,0.68,-0.68,6.441,6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,-96.5,14.5,7.5,-3.6,0.86,0.35,-0.22,,,,273.32,111.24,-69.92,273.32,111.24,-69.92,,,,,,,,,,,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,0.13,-0.13,13.85,0.13,-0.13,65.2,0.2,-36.3,0.2,74.6,0.2,65.2,0.2,-36.3,0.2,74.6,0.2,7.29,0.18,-0.18,5,3.5,0.1,-0.1,1.164,0.003,-0.003,-0.03,0.04,-0.04,2.7,0.4,-0.4,2.77,0.5,-0.5,6.441,0.01,7.399,0.015,,5.292,0.338,4.486,0.076,4.285,0.016,4.094,0.327,3.598,0.156,4.254,0.015,4.201,0.024,1,17,,,0.958,0.018,0.806,0.346,0.201,0.078,1.007,0.338,0.572,0.003,0.342,0.004,0.427,0.004,8
